"","X","code","title","website","uni","country","city","lat","lon","xmin","ymin","xmax","ymax"
"56",69,"MATHMODS"," Mathematical Modelling in Engineering: Theory, Numerics, Applications","http://www.mathmods.eu/","University of L'Aquila","Italy","L'Aquila",42.3498479,13.3995091,0.1734,39.3851,20.6466,56.352
"57",70,"MCM"," Master of Science in Computational Mechanics","http://www.cimne.com/cm-master/","Swansea University","UK","Swansea",51.62144,-3.943646,-5.9436,39.3851,11.1829,53.6214
"58",71,"ME3"," European Joint Masters in Management and Engineering of Environment and Energy","http://www.emn.fr/z-de/me3-site/","Queen's University Belfast","UK","Belfast",54.597285,-5.93012,-7.9301,38.4168,21.0402,61.3293
"59",73,"Media AC","Media AC ̐ Media Arts Cultures","http://www.mediaartscultures.eu/","Danube University Krems","Austria","Krems an der Donau",48.40999,15.60384,7.9217,20.3964,116.1095,59.0488
"60",74,"MEEES"," Masters in Earthquake Engineering and Engineering Seismology","http://www.meees.org/","Institute for Advanced Study/University of Pavia - UME School, Italy","Italy","Pavia",45.1847248,9.1582069,3.7245,36.2466,34.8597,54.401
"61",75,"MEGEI"," MA Economics of Globalisation and European Integration","http://www.ua.ac.be/egei","Antwerpen University","Belgium","Antwerp",51.2194475,4.4024643,-49.8822,-17.7942,18.8719,55.0027
"62",76,"MEME"," Erasmus Mundus Master Programme in Evolutionary Biology","http://www.evobio.eu/","University of Groningen","The Netherlands","Groningen",53.2193835,6.5665018,-73.1097,40.3736,19.6389,61.8586
"63",77,"MEREMMC"," European MSc in Marine Environment and Resources","http://www.merconsortium.eu/","University of Southampton","UK","Southampton",50.9097004,-1.4043509,-4.9901,41.3267,7.5591,52.9097
"64",78,"MFAMILY"," European Master in Social Work with Families and Children","http://www.mfamily.eu/","University Institute of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,-1.6524,34.5825,60.97
"65",79,"MIM"," Crossing the Mediterranean: towards investment and integration","http://www.mastermimplus.eu/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,14.3155,47.4408
"66",81,"MONABIP"," Molecular Nano- and Biophotonics","http://www.monabiphot.ens-cachan.fr/","Cachan Normal Superior University","France","Cachan",48.791855,2.331433,-5.7038,38.4168,19.0385,53.1079
"67",83,"MUNDUS JOURNALISM"," Erasmus Mundus Masters Journalism, Media and Globalisation","http://www.mundusjournalism.com/","University of Amsterdam","The Netherlands","Amsterdam",52.3702157,4.8951679,-5.9436,49.5074,11.9937,55.5511
"68",85,"MUNDUS URBANO"," Master of Science in International Cooperation and Urban Development","http://www.mundus-urbano.eu/","University of Grenoble- Alpes","France","Grenoble",45.188529,5.724524,0.1734,39.3851,14.4964,51.8728
"69",87,"PERCCOM"," PERvasive Computing & COMmunications for Sustainable Development","http://perccom.univ-lorraine.fr/","Lulea University of Technology","Sweden","Lulea",65.584819,22.1567026,-1.6649,46.6921,30.1897,67.5848
"70",89,"PlantHealth"," European Master degree in Plant Health in Sustainable Cropping Systems","http://planthealth.upv.es/","Technical University of Valencia","Spain","Valencia",39.4699075,-0.3762881,-3.6778,37.4699,13.8768,53.5413
"71",90,"QEM"," Models and Methods of Quantitative Economics","http://erasmusmundus-qem.univ-paris1.fr/","Bielefeld University","Germany","Bielefeld",52.0302285,8.5324708,0.1734,39.3851,14.3155,54.0302
"72",92,"SPACEMASTER"," EMMC in Space Science and Technology","http://www.spacemaster.eu/","Lulea University of Technology","Sweden","Lulea",65.584819,22.1567026,-2.6087,33.6895,141.6917,67.5848
"73",93,"SSI"," Joint International Master in Smart Systems Integration","http://ssi-master.eu/","Heriot Watt University","UK","Edinburgh",55.953252,-3.188267,-5.1883,45.4979,21.0402,61.1708
"74",94,"STEPS"," Erasmus Mundus Master Course in Sustainable Transportation and Electrical Power Systems","http://emmcsteps.uniovi.es/","University of Oviedo","Spain","Oviedo",43.3619145,-5.8493887,-10.4404,38.2048,14.4964,54.9548
"75",96,"SUSCOS"," Sustainable Constructions under Natural Hazards and Catastrophic Events","http://steel.fsv.cvut.cz/suscos/","Czech Technical University in Prague","Czech Republic","Prague",50.0755381,14.4378005,-10.4404,38.2048,24.1567,67.5848
"76",97,"TCCM"," Euromaster on Theoretical Chemistry and Computational Modelling","http://www.emtccm.org/","Autonomous University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-10.6291,37.4699,14.3908,55.2194
"77",98,"TPTI"," Techniques, Patrimoine, Territoires de l'Industrie","http://www.tpti.eu/","University of Paris 1 Pantheon-Sorbonne","France","Paris",48.856614,2.3522219,-9.9093,36.5707,13.8768,50.8566
"78",99,"TRIBOS"," Joint European master in tribology of surfaces and interfaces","http://www.master-tribos.eu/","University of Leeds","UK","Leeds",53.8007554,-1.5490774,-10.4404,38.2048,24.1567,67.5848
"79",100,"TROPIMUNDO"," Erasmus Mundus Masters Course in Tropical Biodiversity and Ecosystems","http://www.tropimundo.eu/","Free University of Brussels","Belgium","Brussels",50.8503396,4.3517103,0.3522,-29.4954,155.012,52.8503
"80",101,"VINIFERA"," European Master of Science of Viticulture and Enology","http://vinifera-euromaster.eu/","Montpellier SupAgro","France","Montpellier",43.610769,3.876716,-11.1393,36.7223,15.2346,51.9844
"81",103,"WINTOUR"," EMJMD on Wine Tourism Innovation","http://www.wintour-master.eu/en_index/","University Rovira i Virgili","Spain","Tarragona",41.1188827,1.2444909,-10.6291,39.1189,3.2445,46.8378
"82",104,"4CITIES"," UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Free University of Brussels","Belgium","Brussels",50.8503396,4.3517103,-5.7038,3.6761,18.3738,52.8503
"83",105,"ACES"," Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of Crete","Greece","Heraklion",35.3387352,25.1442126,-7.471,33.3387,27.1442,58.4152
"84",106,"ADVANCES"," MA Advanced Development in Social Work","http://www.socialworkadvances.org/","Aalborg University","Denmark","Aalborg",57.0488195,9.921747,-11.1393,36.7223,23.0122,59.0488
"85",107,"AMASE"," Joint European Master Programme on Advanced Materials Science and Engineering","http://www.amase-master.net/","Lulea Technology University","Sweden","Lulea",65.584819,22.1567026,0.1734,39.3851,24.1567,67.5848
"86",108,"ARCHMAT"," European Master in ARCHaeological MATerials Science","http://www.erasmusmundus-archmat.uevora.pt/","Sapienza University","Italy","Rome",41.9027835,12.4963655,-9.9093,36.5707,24.9444,43.9028
"87",109,"ASC"," Advanced Spectroscopy in Chemistry Master's Course","http://www.master-asc.org/","University of Helsinki","Finland","Helsinki",60.1698557,24.938379,1.0573,42.4949,26.9384,62.1699
"88",110,"ASTROMUNDUS"," Astrophysics","http://www.astromundus.eu/","University of Belgrade","Serbia","Belgrade",44.786568,20.4489216,-0.5959,39.9028,22.4489,53.5413
"89",111,"ATOSIM"," Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems","http://www.erasmusmundus-atosim.cecam.org/","University of Amsterdam","Netherlands","Amsterdam",52.3702157,4.8951679,2.8357,39.9028,14.4964,54.3702
"90",112,"BIFTEC"," European Master of Science in Food Science, Technology and Business","http://www.fet.kuleuven.be/biftec","Catholic University of Portugal","Portugal","Porto",41.1579438,-8.6291053,-10.6291,39.1579,13.7537,53.7834
"91",113,"CARTO","CARTO E+ JMD Cartography","http://www.cartographymaster.eu/","Vienna University of Technology","Austria","Vienna",48.2081743,16.3738189,4.8937,46.1351,18.3738,54.2215
"92",114,"ChIR"," Erasmus Mundus Master in Chemical Innovation and Regulation","http://www.emmcchir.org/","University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,-9.9304,35.0194,13.3426,57.9533
"93",116,"CLE"," Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes","http://www.cle.unibo.it/site/","University of Upper Alsace","France","Mulhouse",47.750839,7.335888,-19.366,12.7645,24.9444,50.5734
"94",117,"CoDe"," Joint European Master in Comparative Local Development","http://www.erasmusmundus-code.eu/","University of Trento","Italy","Trento",46.0747793,11.1217486,9.1217,44.0569,21.0402,51.0134
"95",118,"CoMEM"," Erasmus Mundus MSC Coastal and Marine Engineering and Management","http://www.ntnu.edu/studies/mscomem","Technical University of Catalonia Barcelona Tech","Spain","Barcelona",41.3850639,2.1734035,-3.4044,39.3851,12.3951,65.4305
"96",119,"COSI","COSI Colour in Science and Industry","http://www.master-colorscience.eu/","University of Granada","Spain","Granada",37.1773363,-3.5985571,-5.5986,35.1773,31.7636,64.601
"97",121,"DCLead"," Msc Digital Communication Leadership","http://www.dclead.eu/","Aalborg University","Denmark","Aalborg",57.0488195,9.921747,2.3517,45.8095,15.055,59.0488
"98",123,"Dyclam"," Dynamics of cultural landscapes and heritage management","http://www.dyclam.eu/fr/","Polytechnic Institute of Tomar","Portugal","Tomar",39.6052067,-8.4042526,-10.4043,37.6052,16.2681,50.8566
"99",124,"EACH"," Excellence in Analytical Chemistry","http://www.analyticalchemistry.eu/","University Claude Bernard Lyon 1","France","Lyon",45.764043,4.835659,2.8357,43.764,24.2666,62.4518
"100",126,"EM HRPP"," Erasmus Mundus Masters in Human Rights Policy and Practice","http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html","University of Gothenburg","Sweden","Gothenburg",57.70887,11.97456,-4.935,41.263,13.9746,59.7089
"101",127,"EMARO+"," European Master on Advanced Robotics +","http://emaro.irccyn.ec-nantes.fr/","Warsaw University of Technology","Poland","Warsaw",52.2296756,21.0122287,-3.5536,37.9864,23.0122,54.2297
"102",128,"EMECC NURSING"," Emergency and Critical Care Nursing","http://masternursing.uniovi.es/","University of Algarve","Portugal","Faro",37.0103271,-7.9374948,-10.686,35.0194,26.9384,62.1699
"103",129,"EMECS"," European Masters programme in Embedded Computing Systems","http://www.emecs.eu/","Norwegian University of Science and Technology","Norway","Trondheim",63.4305149,10.3950528,-3.4044,47.4401,12.3951,65.4305
"104",130,"EMERALD"," Master Course in Georesources Engineering","http://em-georesources.eu/","University of Lorraine","France","Nancy",48.692054,6.184417,3.5591,46.6921,24.1567,67.5848
"105",131,"EMGS"," Global Studies - A European Perspective","http://www.globalstudies-masters.info/","Roskilde University","Denmark","Roskilde",55.64191,12.087845,-2.1278,46.2082,19.0385,57.6419
"106",132,"EMLE"," European Master in Law and Economics","http://www.emle.org/","Aix-Marseille University","France","Aix-en-Provence",43.529742,5.447427,1.7174,17.076,74.8777,55.5511
"107",133,"EMLex ","European Master in Lexicography","http://www.emlex.phil.uni-erlangen.de/","University of Silesia in Katowice","Poland","Katowice",50.2648919,19.0237815,-10.5448,-35.9321,21.0402,54.1548
"108",134,"EMMCMSP"," Erasmus Mundus Master Course on Maritime Spatial Planning","http://www.iuav.it/Didattica1/master/master---I1/Erasmus-Mu/","University of the Azores","Portugal","Ponta Delgada",37.7428301,-25.6805868,-27.6806,35.3891,14.3155,47.4408
"109",135,"EMM-Nano","Nano - Erasmus Mundus Master in Nanoscience and Nanotechnology","http://www.emm-nano.org/","Chalmers University of Technology","Sweden","Gothenburg",57.70887,11.97456,2.7005,43.1885,15.7373,59.7089
"110",136,"EMPHID"," Public Health in Disasters","http://www.pubhealthdisasters.eu/","Catholic University of Leuven","Belgium","Leuven",50.8798438,4.7005176,-7.8494,41.3619,20.0084,61.3689
"111",137,"EMQAL"," European Joint Master in Quality in Analytical Laboratories","http://www.emqal.org/","University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,-9.9304,34.5271,20.6466,62.3913
"112",139,"EMSD"," European Master programme in Systems Dynamics","http://www.europeansystemdynamics.eu/","New University of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,36.1157,15.3613,62.3913
"113",140,"EMSE"," European Masters Programme in Software Engineering","http://em-se.eu/","University of Oulu","Finland","Oulu",65.0120888,25.4650773,-5.7038,38.4168,27.4651,67.0121
"114",141,"EMSHIP"," European Education in Advanced Ship Design","http://www.emship.eu/","École centrale de Nantes","France","Nantes",47.218371,-1.553621,-3.5536,42.4056,30.008,56.0924
"115",142,"EMTM"," European Master in Tourism Management","http://www.emtmmaster.net/","University of Ljubljana","Slovenia","Ljubljana",46.0569465,14.5057515,0.8214,39.9794,16.5058,57.496
"116",143,"EPOG"," Master's Course - Economic Policies in the age of Globalisation : knowledge, finance and development","http://www.epog.eu/","Berlin School of Economics and Law","Germany","Berlin",52.5200066,13.404954,-2.3007,-28.2041,30.0473,54.52
"117",144,"EUCOMOR"," European Master in Comparative Morphology","http://www.eucomor.net/","Justus Liebig University Giessen","Germany","Giessen",50.5840512,8.6784031,2.4025,38.8518,18.9252,54.4064
"118",147,"EUROPHOTONICS"," Master in Photonics Engineering, Nanophotonics and Biophotonics","http://www.europhotonics.org/wordpress/","University of Karlsruhe","Germany","Karlsruhe",49.0068901,8.4036527,0.1734,39.3851,27.2797,56.6872
"119",148,"EU4M - EMMC"," EMMC Mechatronic Engineering","http://www.eu4m.eu/","Karlsruhe University of Applied Sciences","Germany","Karlsruhe",49.0068901,8.4036527,-7.8494,28.0131,42.9766,59.0051
"120",149,"EUPADRA"," PARLIAMENTARY PROCEDURES AND LEGISLATIVE DRAFTING","http://eupadra.eu/","University of London","UK","London",51.5073509,-0.1277583,-5.7038,38.4168,14.4964,53.5074
"121",152,"GroundwatCH"," Groundwater and Global Change - Impacts and Adaptation","http://www.groundwatermaster.eu/","UNESCO-IHE Institute for Water Education","Netherlands","Delft",52.0115769,4.3570677,-11.1393,36.7223,15.7373,54.0116
"122",154,"GeoTech"," Master of Science in Geospatial Technologies","http://mastergeotech.info/","University Jaume I","Spain","Castellón de la Plana",39.9863563,-0.0513246,-11.1393,36.7223,9.6261,53.9607
"123",155,"GLOBED","GLOBED Erasmus Mundus Joint Master Degree on Education Policies for Global Development","http://globed.eu/","University of Oslo","Norway","Oslo",59.9138688,10.7522454,0.1734,33.8956,16.4869,61.9139
"124",156,"IMAE"," International Master in Applied Ecology","http://www.emmc-imae.org/","University Christian-Albrechts","Germany","Kiel",54.3232927,10.1227652,-53.2177,-32.0346,12.1228,56.3233
"125",157,"IMAESC"," International Master in Adult Education for Social Change","http://www.gla.ac.uk/postgraduate/erasmusmundus/imaesc/","University of Malta","Malta","Msida",35.8956388,14.4868883,-6.2518,33.8956,26.7536,61.437
"126",158,"IMFSE"," International Master of Science in Fire Safety Engineering","http://www.imfse.ugent.be/","Lund University","Sweden","Lund",55.7046601,13.1910073,-5.1883,49.0543,15.191,57.9533
"127",159,"IMIM"," International Master in Industrial Management","http://www.imim.polimi.it/","Polytechnic University of Milan","Italy","Milan",45.4654219,9.1859243,-5.7038,38.4168,13.582,57.9533
"128",160,"IMIM Med"," International Master in Innovative Medicine","http://www.innovativemedicine.eu/","Heidelberg University","Germany","Heidelberg",49.3987524,8.6724335,4.5665,47.3988,19.6389,61.8586
"129",161,"IMQP"," Erasmus Mundus Master in Quaternary and Prehistory","https://sites.google.com/a/unife.it/quaternary-prehistory/","Rovira i Virgili University","Spain","Tarragona",41.1188827,1.2444909,-10.4043,37.6052,13.6198,50.8566
"130",162,"IMRCEES"," International Masters in Russian, Central and East European Studies","http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/","University of Glasgow","UK","Glasgow",55.864237,-4.251806,-6.2518,39.7151,78.8512,60.3776
"131",163,"IMRD"," International Master of Science in Rural Development","http://www.imrd.ugent.be/","University of Pisa","Italy","Pisa",43.7228386,10.4016888,-3.6778,41.7228,20.0764,54.52
"132",166,"KINOEYES | KEM"," The European Movie Masters","http://www.kinoeyes.eu/","Edinburgh Napier University","UK","Edinburgh",55.953252,-3.188267,-11.1393,36.7223,26.7536,61.437
"133",167,"LCT"," European Masters Program in Language and Communication Technologies","http://www.lct-master.org/","University of Groningen","The Netherlands","Groningen",53.2193835,6.5665018,-3.9812,33.8956,16.4869,55.2194
"134",168,"LIVE"," Leading International Vaccinology Education","http://live.univ-lyon1.fr/","University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,6.8357,53.2194
"135",169,"MAIA"," Medical Imaging and Applications EMJMD","http://www.maiamaster.org/","University of Bourgogne","France","Dijon",47.322047,5.04148,0.8214,39.4908,15.8334,49.322
"136",170,"MAMASELF"," Master in material science exploring European large scale facilities","http://www.mamaself.eu/","Technical University of Munich","Germany","Munich",48.1351253,11.5819806,-3.6778,41.6108,13.582,50.1351
"137",172,"MATHMODS"," Mathematical Modelling in Engineering: Theory, Numerics, Applications","http://www.mathmods.eu/","Autonomous University - Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,20.6466,56.352
"138",173,"MCM"," Master of Science in Computational Mechanics","http://www.cimne.com/cm-master/","Stuttgart University","Germany","Stuttgart",48.7758459,9.1829321,-5.9436,39.3851,11.1829,53.6214
"139",174,"ME3"," European Joint Masters in Management and Engineering of Environment and Energy","http://www.emn.fr/z-de/me3-site/","Budapest University of Technology and Economics","Hungary","Budapest",47.497912,19.040235,-7.9301,38.4168,21.0402,61.3293
